,storeNo,name,lat,lng,address
0,13655029,바른국밥 첨단점,35.2117217,126.83737422,광주광역시 광산구 첨단내촌로 56 1층(월계동)
1,13701546,록시드갸토 첨단아크레타점,35.21424934,126.84642891,"광주광역시 광산구 임방울대로800번길 71 아크레타 첨단1층 105,106호(월계동)"
2,10646557,크리스피크림도넛 광주첨단점,35.21722116,126.84245697,"광주광역시 광산구 월계동 867-1 1층 113,114(일부)호 (월계동, 첨단센츄럴빌딩)"
3,13414085,인끼밥상,35.2182211,126.84562333,"광주광역시 광산구 쌍암동 669-4 (쌍암동,105.106호(1층))"
4,13911414,챙길 밥 첨단신도시점,35.21091623,126.83706871,광주광역시 광산구 첨단내촌로 45-4 1층(월계동)
5,10775053,백족발 첨단직영점,35.21944319,126.8457344,광주광역시 광산구 쌍암동 667-7 1층(쌍암동)
6,13315849,청담피자 광주1호첨단점,35.21860993,126.84470673,광주광역시 광산구 쌍암동 668-11 1동1층101호
7,13861697,그집 곱도리탕 첨단점,35.21119406,126.84220714,광주광역시 광산구 첨단중앙로67번길 7-4 1층(월계동)
8,13692536,배떡 첨단1지구점,35.22163735,126.84351232,광주광역시 광산구 첨단중앙로182번길 20 1층(쌍암동)
9,13907529,BHC 첨단3호점,35.21074974,126.84626235,"광주광역시 광산구 첨단중앙로68번길 60 상가1동 1층 104호(산월동, 첨단3-1차 호반리젠시빌)"
10,13514402,치킨플러스 광주첨단월계점,35.2106385,126.83826306,광주광역시 광산구 월계동 836-4 1층(월계동)
11,13825109,도야짬뽕 첨단2지구점,35.20691708,126.86070561,"광주광역시 북구 첨단연신로107번길 45-21 (신용동,101,102,103,104호)"
12,10675630,상무초밥 첨단직영점,35.21513811,126.8450679,광주광역시 광산구 첨단중앙로106번길 37 가동 1층(월계동)
13,12027052,도마카이 스시&참치 전문점,35.21916544,126.84578996,광주광역시 광산구 쌍암동 667-8
14,13137828,미스터초밥 첨단점,35.2153326,126.84901199,"광주광역시 광산구 쌍암동 694-5 1층 128,129호(쌍암동)"
15,10735575,난타5000 첨단금호점,35.22002402725568,126.8362798804684,"광주광역시 광산구 월계동 756-10 104동(월계동, 첨단이정주차빌딩)"
16,13077299,썬더치킨 첨단점,35.20962787195708,126.8372302977329,광주광역시 광산구 월계동 804-9 1층(월계동)
17,13108749,히뽕쭈 쭈꾸미&돈곱창전골,35.21094394,126.83351347,광주광역시 광산구 월계동 780-14 1층
18,13269871,마루요시 첨단점,35.21605469,126.84626221,광주광역시 광산구 월계동 878-8 1층(월계동)
19,13403430,BHC 첨단중앙점,35.21399936,126.84573453,광주광역시 광산구 월계동 891-6 (월계동)
20,13714036,아메리칸피자 첨단양산점,35.22116533,126.85251153,광주광역시 광산구 앰코로 35 폭스존 1층 105호(쌍암동)
21,13593662,한끼닭강정,35.20652821,126.85951128,광주광역시 북구 신용동 691 대성빌딩 1층 111호 (신용동)
22,13747599,엘리펀트피자 광주첨단점,35.21088845,126.83704094,광주광역시 광산구 첨단내촌로 45-4 1층(월계동)
23,10860822,꾸브라꼬숯불두마리치킨 첨단점,35.21438822,126.84673444,광주 광산구 월계동 892-15 1층
24,13915590,혼밥대장 한식전문점 첨단점,35.21377716,126.84573454,광주광역시 광산구 임방울대로800번길 82 1층 (월계동)
25,13080366,썬더치킨 쌍암공원점,35.22160957,126.84304014,광주광역시 광산구 쌍암동 654-16
26,13861696,대박삼겹김치찜&초대박등갈비김치찜,35.21119406,126.84220714,광주광역시 광산구 첨단중앙로67번길 7-4 1층(월계동)
27,10594397,토픽쌀피자 첨단점,35.21671937422007,126.83815279941513,광주광역시 광산구 월계로 117-32 상가1층 토픽쌀피자
28,13438349,피자알볼로 첨단1지구점,35.21812324961763,126.84851697107749,"광주광역시 광산구 쌍암동 683-2 상가동 101호(쌍암동,광주첨단 LH2단지)"
29,10727522,후라이드참잘하는집 첨단점,35.21274938,126.83851298,광주광역시 광산구 월계동 818-15 1층 (월계동)
30,13371073,혼마구로 참치,35.222323168120404,126.84965660928681,광주광역시 북구 첨단과기로208번길 43-10 1층 136호(오룡동)
31,13131222,BHC 광주첨단1호점,35.21866532,126.83484649,광주광역시 광산구 월계동 759-1
32,13352639,혼밥대왕 첨단점,35.22013762,126.84970625,"광주광역시 광산구 임방울대로825번길 60-6 103동 101호(쌍암동,첨단중해마루힐)"
